name,status,idx,group,country,link
T-80BVM,destroyed,1,Tanks,RUS,https://i.postimg.cc/2y474krg/336.png
MT-LB,destroyed,1,Armoured Fighting Vehicles,RUS,https://i.postimg.cc/0QPGdgX4/6658.png
MT-LB,captured,2,Armoured Fighting Vehicles,RUS,https://i.postimg.cc/P5M1XV5z/58.png
MT-LB,captured,3,Armoured Fighting Vehicles,RUS,https://i.postimg.cc/hjqg1p15/680.png
BMP-2,captured,1,Infantry Fighting Vehicles,RUS,https://i.postimg.cc/T1HJcX0f/776.png
GAZ Tigr-M,destroyed,1,Infantry Mobility Vehicles,RUS,https://i.postimg.cc/W1VpzFcv/5578.png
GAZ Tigr-M,damaged,2,Infantry Mobility Vehicles,RUS,https://i.postimg.cc/ZKDrDbck/85.png
An-26,destroyed,1,Aircraft,RUS,https://i.postimg.cc/R0ppMFNQ/448.png
Ka-52 'Alligator',destroyed,1,Helicopters,RUS,https://i.postimg.cc/PJGKCtCv/658.png
Ka-52 'Alligator',damaged,2,Helicopters,RUS,https://i.postimg.cc/kXX8gFLx/769.png
GAZ-66,captured,1,"Trucks, Vehicles and Jeeps",RUS,https://i.postimg.cc/ncy3jWxy/55488.png
T-64BV,destroyed,1,Tanks,UKR,https://i.postimg.cc/mgntjg7P/763.png
BRM-1K,captured,1,Armoured Fighting Vehicles,UKR,https://i.postimg.cc/ZnMyg04W/6669.jpg 
MT-LBu,abandoned,1,Armoured Fighting Vehicles,UKR,https://i.postimg.cc/ZYHxJ6rp/Screenshot-8036.png
BMP-1,destroyed,1,Infantry Fighting Vehicles,UKR,https://i.postimg.cc/7hc1JGgw/558.jpg
BMP-1,abandoned,2,Infantry Fighting Vehicles,UKR,https://i.postimg.cc/nzYYjDN8/Screenshot-8035.png
BMP-1,abandoned,3,Infantry Fighting Vehicles,UKR,https://i.postimg.cc/8cZRwV1t/Screenshot-8037.png
BMP-1,abandoned,4,Infantry Fighting Vehicles,UKR,https://i.postimg.cc/vTY7Wmd4/Screenshot-8038.png
BTR-4,destroyed,1,Infantry Fighting Vehicles,UKR,https://i.postimg.cc/W42RL0Ld/5554.png
BTR-4,destroyed,2,Infantry Fighting Vehicles,UKR,https://i.postimg.cc/bYFbd2PW/6658.png
BTR-4,captured,3,Infantry Fighting Vehicles,UKR,https://i.postimg.cc/tCP3NpHR/c1.png
BTR-4,captured,4,Infantry Fighting Vehicles,UKR,https://i.postimg.cc/htB9C6SL/c2.png
BTR-70,captured,1,Armoured Personnel Carriers,UKR,https://i.postimg.cc/9FS2wLRZ/Screenshot-8016.png
Kozak-2,destroyed,1,Infantry Mobility Vehicles,UKR,https://i.postimg.cc/L6pqJk7y/58.png
P-14 'Tall King',damaged,1,Radars,UKR,https://i.postimg.cc/rpWmrPLb/57.png
P-35/37 'Bar Lock',destroyed,1,Radars,UKR,https://i.postimg.cc/WpShQwBk/5547.png
PRV-13 'Odd Pair',destroyed,1,Radars,UKR,https://i.postimg.cc/pXwx79Lj/557.png
1L22 'Parol',destroyed,1,Radars,UKR,https://i.postimg.cc/SRjk0C96/6659.png
1L22 'Parol',damaged,2,Radars,UKR,https://postimg.cc/9Dcvz02c
An-26 transport aircraft,destroyed,1,Aircraft,UKR,https://i.postimg.cc/rmdB2PLQ/489.png
KrAZ-260,destroyed,1,"Trucks, Vehicles and Jeeps",UKR,https://i.postimg.cc/0QMkBhwk/Screenshot-8021.png
KrAZ-260,captured,2,"Trucks, Vehicles and Jeeps",UKR,https://postimg.cc/0zzW9YYS
KrAZ-260,captured,3,"Trucks, Vehicles and Jeeps",UKR,https://postimg.cc/G9jSKh34
KrAZ-260,captured,4,"Trucks, Vehicles and Jeeps",UKR,https://postimg.cc/v4CPT4hN
KrAZ-260,captured,5,"Trucks, Vehicles and Jeeps",UKR,https://postimg.cc/dLpRmzC7
KrAZ-260,captured,6,"Trucks, Vehicles and Jeeps",UKR,https://postimg.cc/jC9nGySm
Ural-375D,captured,1,"Trucks, Vehicles and Jeeps",UKR,https://i.postimg.cc/FKC8wRyc/Screenshot-8025.png
KamAZ,destroyed,1,"Trucks, Vehicles and Jeeps",UKR,https://i.postimg.cc/6pr9sdqZ/Screenshot-8019.png
GAZ-66,captured,1,"Trucks, Vehicles and Jeeps",UKR,https://i.postimg.cc/9MGPZgQM/Screenshot-8017.png
UAZ-469,captured,1,"Trucks, Vehicles and Jeeps",UKR,https://i.postimg.cc/tgpMs65F/Screenshot-8026.png
Unknown truck,destroyed,1,"Trucks, Vehicles and Jeeps",UKR,https://i.postimg.cc/vBdfY7td/Screenshot-8019.png
Unknown truck,destroyed,2,"Trucks, Vehicles and Jeeps",UKR,https://i.postimg.cc/jScSwHTb/Screenshot-8020.png
